词语,全拼音,同形,数名,数量名,个体量词,度量词,容器量词,集体量词,种类量词,成形量词,不定量词,前接,后接,状语,重叠,临量,处所,兼类,备注
会员,hui4yuan2,,,,"个,名,位",,,"群,批",,,些,,们,,,,,,
绘画,hui4hua4,,,,幅,,,,种,,些,,,,,,,,~艺术/~展览/现代~
馄饨,hun2tun2,,,,个,斤,碗,,种,,"些,点",,,,,,,,鸡丝~
魂魄,hun2po4,,,否,,,,,,,,,,,,,,,
混凝土,hun4ning2tu3,,,,,"吨,立方米,公斤","车,桶",,种,堆,"些,点",,,,,,,,
活动,huo2dong4,,,,"项,个",,,,种,,些,,,,,,,va,
活儿,huor2,,,,"件,个",,,,种,,些,,,,,,,,
活力,huo2li4,,,,,,,,种,股,"些,点",,,,,,,,
火柴,huo3chai2,,,,根,,"盒,包",,种,堆,些,,,,,,,,
火车,huo3che1,,,,列,,,,种,节,,,,,,,,,
火花,huo3hua1,,,,,,,,,"串,片","些,点",,,,,,,,
火箭,huo3jian4,,,,"枚,个",,,,种,,些,,,,,,,,
火炬,huo3ju4,,,,个,,,,种,,些,,,,,,,,
火力,huo3li4,,,否,,,,,,,,,,,,,,,
火苗,huo3miao2,,,,,,,,,"股,串","些,点",,儿,,,,,,
火山,huo3shan1,,,,"座,个",,,,种,,些,,,,,,,,
火势,huo3shi4,,,否,,,,,,,,,,,,,,,
火腿,huo3tui3,,,,"只,个","斤,公斤,克,千克","盘,包,盒",,种,"块,片","些,点",,,,,,,,
火焰,huo3yan4,,,,,,,,,"团,簇","些,点",,,,,,,,
火药,huo3yao4,,,,,"吨,公斤,斤","包,袋,桶",批,种,,"些,点",,,,,,,,黑色~
伙伴,huo3ban4,,,,个,,,群,,,些,,们,,,,,,劳动~/学习~
伙房,huo3fang2,,,,"个,间",,,,,,,,,,,,可,,
伙计,huo3ji5,,,,个,,,群,,,些,,们,,,,,,跑堂~
伙食,huo3shi2,,,否,,,,,,,,,,,,,,,
货,huo4,,,,宗,吨,车,批,"种,等",堆,些,,,,,,,,进口~
货币,huo4bi4,,,,,,,,"种,类",,些,,,,,,,,流通~
货色,huo4se4,,,,,,,,种,,,,,,,,,,
货物,huo4wu4,,,,宗,"吨,公斤,千克",车,批,"种,类",堆,"些,点",,,,,,,,
祸害,huo4hai5,,,,,,,,种,,些,,,,,,,,
机场,ji1chang3,,,,"个,座",,,,,,些,,,,,,可,,
机床,ji1chuang2,,,,台,,,,种,,些,,,,,,,,
机构,ji1gou4,,,,个,,,套,种,,些,,,,,,,,生产~
机关,ji1guan1,,,,个,,,,,,些,,,,,,,,~工作/军事~/办公~
机会,ji1hui4,,,,个,,,,种,,些,,,,,,,,他有~去北京/学习~/出国~
机密,ji1mi4,,,,"项,个,件",,,,种,,些,,,,,,,a,泄漏~/军事~/~文件(a)
机器,ji1qi4,,,,"台,个,架",,,"组,批",种,,些,,,,,,,,
机械,ji1xie4,,,,,,,批,种,,些,,化,,,,,a,~原理/水力~
机遇,ji1yu4,,,,个,,,,种,,些,,,,,,,,升学~
机组,ji1zu3,1,,,"个,台",,,,,,些,,,,,,,,共同工作的一组机器/2号~/发电机~
机组,ji1zu3,2,,,个,,,,,,些,,,,,,,,一架飞机上的全体工作人员/~人员
肌肤,ji1fu1,,,否,,,,,,,,,,,,,,,
肌肉,ji1rou4,,,,,,,,,块,些,,,,,,,,
鸡,ji1,,,,只,,,"群,窝",种,,些,,,,,,,,
鸡蛋,ji1dan4,,,,"个,枚","斤,公斤,克,千克","筐,坛",批,,,些,,,,,,,,
鸡毛,ji1mao2,,,,根,,"袋,包",,,把,些,,,,,,,,
鸡尾酒,ji1wei3jiu3,,,,,,"杯,瓶",,种,,"些,点",,,,,,,,
积木,ji1mu4,,,,,,盒,副,种,块,些,,,,,,,,
积雪,ji1xue3,,,,,,,,,层,"些,点",,,,,,,,满地~
积怨,ji1yuan4,,,,,,,,,,些,,,,,,,,
基础,ji1chu3,,,,个,,,,种,,"些,点",,,,,,,,~工业/物质~
基地,ji1di4,,,,"个,处",,,,,"块,片",些,,,,,,,,发射~
基金,ji1jin1,,,,项,元,,笔,种,,"些,点",,,,,,,,公共~/生产~
基数,ji1shu4,,,,个,,,,,,些,,,,,,,,
基因,ji1yin1,,,,,,,,种,,些,,,,,,,,生物遗传的基本单位:遗传~
激光,ji1guang1,,,,,,,,,束,,,,,,,,,~武器
激情,ji1qing2,,,,,,,,种,股,"些,点",,,,,,,,
吉普车,ji2pu3che1,,,,辆,,,"队,批",种,,些,,,,,,,,
吉他,ji2ta1,,,,"把,个",,,,种,,些,,手,,,,,,
级别,ji2bie2,,,,个,,,,种,,,,,,,,,,
极限,ji2xian4,,,否,,,,,,,,,,,,,,,
急事,ji2shi4,,,,"件,桩",,,,,,"些,点",,,,,,,,
疾病,ji2bing4,,,,,,,,种,,些,,,,,,,,~种类/心血管~
集合,ji2he2,,,,个,,,,,,,,,,,,,v,数学名词set的译名/名词~
集锦,ji2jin3,,,,本,,,,种,,,,,,,,,,图片~/邮票~
集体,ji2ti3,,,,个,,,,,,些,,,,,,,,战斗~/有些~很团结
集团,ji2tuan2,,,,个,,,,,,些,,,,,,,,
集镇,ji2zhen4,,,,个,,,,,,些,,,,,,,,
籍贯,ji2guan4,,,,个,,,,,,,,,,,,,,一个人有一个~
几何,ji3he2,,,,,,,,门,,,,,,,,,,解析~
脊梁,ji2liang5,,,否,,,,,,,,,,,,,,,
计策,ji4ce4,,,,"条,个,项",,,,种,,些,,,,,,,,
计划,ji4hua4,,,,"个,项",,,份,"种,类",,些,,性,,,,,v,
计谋,ji4mou2,,,,个,,,,种,,些,,,,,,,,
记录,ji4lu4,,,,"个,项,本",,,份,,"叠,沓,摞","些,点",,,,,,,v,
记忆,ji4yi4,,,,,,,,,,点,,,,,,,v,~能力/短期~/小时侯很多事已无法~了(v)
记者,ji4zhe3,,,,"个,位,名",,,"群,批,帮",,,些,,们,,,,,,随行~
纪律,ji4lv4,,,,"条,项",,,,,,,,性,,,,,,加强~性/考试~
技能,ji4neng2,,,,,,,,种,,"些,点",,,,,,,,操作~
技术,ji4shu4,,,,项,,,,种,,"些,点",,性,,,,,,~活儿
季度,ji4du4,,数,,个,,,,,,,,,,,,,,做主、宾语时必带定语/三~
季节,ji4jie2,,,,个,,,,,,,,性,,,,,,瓜果~/旅游~
鲫鱼,ji4yu2,,,,"条,尾","斤,公斤,吨","盘,碗",群,,,些,,,,,,,,
加法,jia1fa3,,,否,,,,,,,,,,,,,,,
加号,jia1hao4,,,,个,,,,,,些,,,,,,,,
加油机,jia1you2ji1,,,,"台,个",,,,种,,些,,,,,,,,
夹克,jia2ke4,,,,件,,,,种,,些,,,,,,,,
佳音,jia1yin1,,,否,,,,,,,,,,,,,,,
枷锁,jia1suo3,,,,"把,个",,,副,种,,些,,,,,,,,
家,jia1,,,,个,,,,,,,,,,NN,,,qk,小王~/~猫
家常话,jia1chang2hua4,,,,句,,,,,,些,,,,,,,,
家当,jia1dang4,,,,,,,份,,,些,,,,,,,,
家伙,jia1huo5,1,,,个,,,帮,,,些,"老,小",,,,,,,指人:作主宾语要带定语/这个~真能干
家伙,jia1huo5,2,,,"个,件",,,套,种,,些,,,,,,,,指工具:拿~来
家庭,jia1ting2,,,,个,,,,"种,类",,些,,,,,,,,革命~
家务,jia1wu4,,,,,,,,种,,些,,,,,,,,
家乡,jia1xiang1,,,否,,,,,,,,,,,,,,,
家园,jia1yuan2,,,,,,,,,片,,,,,,,,,
嘉宾,jia1bin1,,,,"个,位,名",,,群,,,些,,们,,,,,,
钾肥,jia3fei2,,,,,"吨,公斤,千克,克","车,袋,包",,"种,类",堆,"些,点",,,,,,,,
价格,jia4ge2,,,,,,,,种,,,,,,,,,,浮动~/~体系/原料~
价钱,jia4qian5,,,否,,,,,,,,,,,,,,,~问题
价值,jia4zhi2,,,,,,,,,,"些,点",,观,,,,,v,~观念/劳动~
架子,jia4zi5,,,,"副,个",,,,种,,"些,点",,,,,,,,官~/花~
假货,jia3huo4,,,,件,吨,"车,包",批,种,堆,些,,,,,,,,有几件~
假山,jia3shan1,,,,"座,个",,,,,,些,,,,,,,,
假设,jia3she4,,,,个,,,,种,,些,,,,,,,v,
假条,jia4tiao2,,,,"张,个",,,,种,"叠,沓,摞",些,,儿,,,,,,
嫁妆,jia4zhuang5,,,,件,,"箱,车","份,套",种,,"些,点",,,,,,,,
奸细,jian1xi5,,,,"个,名",,,"群,帮,伙",,,些,,,,,,,,
尖端,jian1duan1,,,否,,,,,,,,,性,,,,,b,
间谍,jian4die2,,,,"个,位,名",,,"群,批,帮",种,,些,,,,,,,,
肩膀,jian1bang3,,,,"个,只",,,"副,双",,,,,儿,,,,,,
监狱,jian1yu4,,,,"个,座,所",,,,种,,些,,,,,,可,,
煎饼,jian1bing5,,,,"张,个","斤,公斤,克,千克","包,盘",,,"块,摞","些,点",,,,,,,,
减法,jian3fa3,,,否,,,,,,,,,,,,,,,
剪刀,jian3dao1,,,,把,,,批,种,,些,,,,,,,,
剪子,jian3zi5,,,,把,,,批,种,,些,,,,,,,,
检察院,jian3cha2yuan4,,,,个,,,,,,些,,,,,,可,,
简称,jian3cheng1,,,,个,,,,种,,些,,,,,,,v,
简历,jian3li4,,,,个,,,份,种,段,些,,,,,,,,
见解,jian4jie3,,,,个,,,,种,,"些,点",,,,,,,,个人~/发表~
见闻,jian4wen2,,,,则,,,,种,,"些,点",,,,,,,,
建议,jian4yi4,,,,"个,项,条",,,,种,,"些,点",,,,,,,v,~内容/个人~
建筑,jian4zhu4,,,,座,,,群,种,,些,,,,,,,v,
剑,jian4,,,,"把,柄,口",,,,种,,些,,,,,,,,太极~/青铜~
健将,jian4jiang4,,,,"员,个,名,位",,,群,,,些,,,,,,,,
舰艇,jian4ting3,,,,"艘,条",,,队,种,,些,,,,,,,,
键盘,jian4pan2,,,,个,,,,种,,些,,,,,,,,
江,jiang1,,,,条,,,,,,,,,,,,,,~面
江山,jiang1shan1,,,否,,,,,,,,,,,,,,,祖国~如此多娇
姜,jiang1,1,,,"棵,株","亩,公顷",,,,片,些,,,,,,,,植物
姜,jiang1,2,,,,"斤,公斤,克,千克","筐,车",,,"块,片,堆","些,点",,,,,,,,这种植物的根茎:糖~
将军,jiang1jun1,,,,"个,位,名",,,群,,,些,,们,,,,,,
浆糊,jiang4hu5,,,,,,瓶,,种,,"些,点",,,,,,,,
疆域,jiang1yu4,,,否,,,,,,,,,,,,,,,
讲台,jiang3tai2,,,,个,,,,,,,,,,,,,,
讲义,jiang3yi4,,,,本,,,份,种,"叠,摞",些,,,,,,,,
讲座,jiang3zuo4,,,,个,,,,"种,类",,些,,,,,,,,举办~/美发~
奖,jiang3,,,,项,元,,,"种,等",,"些,点",,,,,,,v,学习~
奖杯,jiang3bei1,,,,"只,个",,,,种,排,些,,,,,,,,
奖金,jiang3jin1,,数,,,元,,"笔,份",种,,"些,点",,,,,,,,他得了3万~
奖状,jiang3zhuang4,,,,张,,,份,种,"摞,沓",些,,,,,,,,
酱,jiang4,,,,,"斤,公斤,克,千克","盘,瓶,盒",,种,,"些,点",,,,,,,,
糨糊,jiang4hu5,,,,,,"瓶,桶",,种,层,"些,点",,,,,,,,
交际舞,jiao1ji4wu3,,,,个,,,,种,,,,,,,,,,
交情,jiao1qing5,,,,,,,,,,"些,点",,,,,,,,
交通,jiao1tong1,,,否,,,,,,,,,员,,,,,,~工具/铁路~
交易,jiao1yi4,,,,"宗,项",,,笔,种,,"些,点",,,,,,,,政治~/~市场
胶,jiao1,,,,,"斤,公斤,克,千克",瓶,,种,,"些,点",,,,,,,v,
胶卷,jiao1juan3,,,,个,,盒,批,种,卷,些,,儿,,,,,,
胶水,jiao1shui3,,,,,"公斤,克",瓶,,种,"滴,层","些,点",,儿,,,,,,
焦点,jiao1dian3,,,,个,,,,,,,,,,,,,,注意~/社会~
角,jiao3,,,,"只,个",,,对,种,,些,,儿,,,是,,q,牛~/死~/西北~/一~饼/3~钱(q)
角度,jiao3du4,,,,个,,,,种,,,,,,,,,,观测~/换一个~
角铁,jiao3tie3,,,,根,"公斤,吨,米",车,批,种,段,些,,,,,,,,
绞刑,jiao3xing2,,,否,,,,,,,,,,,,,,,
饺子,jiao3zi5,,,,个,"斤,公斤,千克","袋,碗,盘",,种,,"些,点",,,,,,,,
脚,jiao3,,,,只,,,双,,,些,,,,,一,,,一~泥
脚气,jiao3qi4,,,否,,,,,,,,,,,,,,,
轿车,jiao4che1,,,,辆,,,批,种,排,些,,,,,,,,
教材,jiao4cai2,,,,"本,部",,,"套,批,份",种,"摞,堆",些,,,,,,,,学习~
教会,jiao4hui4,,,,个,,,,,,些,,,,,,,,
教练,jiao4lian4,,,,"个,位,名",,,"群,批",,,些,,"员,们",,,,,,跳水~
教师,jiao4shi1,,,,"个,位,名",,,群,,,些,,们,,,,,,
教室,jiao4shi4,,,,"个,间",,,,种,"排,溜",些,,,,,,可,,排练~/听力~
教授,jiao4shou4,,,,"个,位,名",,,批,级,,些,,们,,,,,,
教堂,jiao4tang2,,,,"个,座",,,,,,些,,,,,,可,,
教训,jiao4xun4,,,,"个,条",,,,种,,"些,点",,,,,,,v,这个~应该牢牢记住
教养,jiao4yang3,,,,,,,,,,"些,点",,,,,,,,
教员,jiao4yuan2,,,,"个,位,名",,,"群,批,帮",,,些,,们,,,,,,
阶层,jie1ceng2,,,,个,,,,,,些,,,,,,,,社会~/作主语要带定语/劳动~
阶段,jie1duan4,,,,个,,,,,,些,,性,,,,,,~小结/学习~
阶级,jie1ji2,,,,个,,,,,,,,性,,,,,,剥削~
街,jie1,,,,条,,,,,,,,,,,,,,长安~
节目,jie2mu4,,,,个,,,"套,组",种,,些,,,,,,,,娱乐~
节气,jie2qi4,,数,,个,,,,,,,,,,,,,,二十四~
节日,jie2ri4,,,,个,,,,种,,些,,,,,,,,
结构,jie2gou4,,,,,,,,种,,些,,,,,,,,原子~/~组成
结果,jie2guo3,,,,个,,,,种,,"些,点",,,,,,,v,
结论,jie2lun4,,,,个,,,,种,,些,,,,,,,,
结尾,jie2wei3,,,,个,,,,,段,,,,,,,,,文章~/~工程
姐妹,jie3mei4,,数,,,,,对,,,,,们,,,,,,三~/一对~
戒指,jie4zhi5,,,,"个,枚,只",,盒,对,种,,些,,儿,,,,,,
界线,jie4xian4,,,,条,,,,,,些,,,,,,,,
借口,jie4kou3,,,,个,,,,种,,些,,,,,,,v,找~
金笔,jin1bi3,,,,"支,杆,根",,盒,批,种,,些,,,,,,,,
金额,jin1e2,,,否,,,,,,,,,,,,,,,
金牌,jin1pai2,,,,"块,枚,个",,,,,,些,,,,,,,,
金钱,jin1qian2,,,否,,,,,,,,,,,,,,,
金融,jin1rong2,,,否,,,,,,,,,界,,,,,,
金鱼,jin1yu2,,,,"条,尾",,"缸,池",,"种,类",,些,,,,,,,,
金属,jin1shu3,,,,,"公斤,千克,吨",车,,"种,类","块,堆","些,点",,,,,,,,~制品/液体~
金子,jin1zi5,,,,,"两,克,千克","盒,包,箱",,,块,"些,点",,,,,,,,
津贴,jin1tie1,,,,,元,,,,,"些,点",,,,,,,v,讲课~/工作~/每月~他100元(v)
筋骨,jin1gu3,,,否,,,,,,,,,,,,,,,锻炼~
锦标赛,jin3biao1sai4,,,否,,,,,,,,,,,,,,,"~地点/篮球~/游泳~/可受""届,场,次""修饰"
锦旗,jin3qi2,,,,面,,,,种,,些,,,,,,,,
劲,jin4,,,,,,,,,股,点,,儿,,,,,,
近况,jin4kuang4,,,否,,,,,,,,,,,,,,,生活~
进度,jin4du4,,,否,,,,,,,,,,,,,,,工作~
禁忌,jin4ji4,,,,,,,,种,,些,,,,,,,,
禁令,jin4ling4,,,,"项,条",,,,,道,些,,,,,,,,
禁区,jin4qu1,,,,个,,,,,,些,,,,,,可,,
京剧,jing1ju4,,,,出,,,,,段,些,,,,,,,,看了一场~
经典,jing1dian3,,,,"本,部,卷",,,套,,,,,,,,,,,~著作/博览~
经费,jing1fei4,,数,,项,元,,笔,种,,"些,点",,,,,,,,~来源/教育~/科研~
经济,jing1ji4,,,,,,,,门,,"些,点",,学,,,,,a,国民~/计划~
经历,jing1li4,,,,,,,,种,段,些,,,,,,,v,工作~
经验,jing1yan4,,,,"个,条",,,套,种,,"些,点",,,,,,,v,工作~/~主义/他~了无数次失败(v)
晶体,jing1ti3,,,,,,,,种,块,些,,,,,,,,
精兵,jing1bing1,,数,,"名,支",,,"批,队",,,些,,,,,,,,200名~/3万~
精华,jing1hua2,,,,,,,,种,,点,,,,,,,,工艺品的~/这篇文章的~部分
精品,jing1pin3,,,,件,,"盒,箱",批,种,,些,,,,,,,,艺术~
精神,jing1shen2,A,,,,,,,种,,,,,,,,,,~力量/阿Ｑ~
精神,jing1shen5,B,,否,,,,,,,,,,,,,,a,表现的活力:他的~很好/你要振作~
井,jing3,,,,"口,眼,个",,,,,,些,,,,,,,,~底/水~
景点,jing3dian3,,,,个,,,批,,,些,,,,,,,,游览~/新开发了一批~
景色,jing3se4,,,,,,,,种,,,,,,,,,,"自然~/数词限于""一""/一番~"
景物,jing3wu4,,,,,,,,,,些,,,,,,,,自然~
警报,jing3bao4,,,,个,,,,种,,,,,,,,,,
警卫,jing3wei4,,,,"个,位,名",,,"群,帮",,排,些,,"们,员",,,,,v,~人员
警钟,jing3zhong1,,,,个,,,,,,,,,,,,,,多用于比喻
净重,jing4zhong4,,,否,,,,,,,,,,,,,,,
敬意,jing4yi4,,,,,,,,种,,"些,点",,,,,,,,
境界,jing4jie4,,,,,,,,种,,,,,,,,,,精神~
静物,jing4wu4,,,,件,,,,,,些,,,,,,,,~摄影
镜子,jing4zi5,,,,"面,个",,,,种,块,些,,,,,,,,
窘况,jiong3kuang4,,,,,,,,种,,,,,,,,,,
纠纷,jiu1fen1,,,,"件,桩,个",,,批,种,,"些,点",,,,,,,,家庭~/~性质
酒,jiu3,,,,,"斤,公斤,克,千克","杯,瓶,坛",,"种,等,级",滴,"些,点",,,,,,,,~味儿/中国~
酒杯,jiu3bei1,,,,"个,只",,盒,套,种,摞,些,,,,,,,,
酒店,jiu3dian4,,,,"个,家,座",,,,,,些,,,,,,可,,
酒具,jiu3ju4,,,,,,,套,种,,些,,,,,,,,
酒席,jiu3xi2,,,,,,桌,,,,些,,,,,,,,
旧交,jiu4jiao1,,,,个,,,群,,,些,,,,,,,,
旧习,jiu4xi2,,,,,,,,种,,些,,,,,,,,
救兵,jiu4bing1,,,,"个,支",,,队,,,些,,,,,,,,
舅舅,jiu4jiu5,,,,个,,,,,,,,们,,,,,,
居民,ju1min2,,数,,"个,位,户",,,"群,帮",,,些,,们,,,,,,3万~
局,ju2,,数,,个,,,,,,些,,长,,,,,q,~领导/工业~/作主宾语要带定语/劳动~
局面,ju2mian4,,,,,,,,种,,,,,,,,,,政治~
桔子,ju2zi5,,,,个,"斤,公斤,克,千克","筐,箱",批,种,堆,"些,点",,,,,,,,果实
橘子,ju2zi5,1,,,个,"公斤,吨,克,千克","车,筐,篮,袋",批,种,堆,"些,点",,,,,,,,一种水果:一筐~
橘子,ju2zi5,2,,,"棵,株","亩,公顷",,,,"片,行,排",些,,,,,,,,常绿乔木
举动,ju3dong4,,,,,,,,种,,些,,,,,,,,军事~
举止,ju3zhi3,,,否,,,,,,,,,,,,,,,
句号,ju4hao4,,,,个,,,,,,些,,,,,,,,
句子,ju4zi5,,,,个,,,组,"种,类",,些,,,,,,,,
巨资,ju4zi1,,,否,,,,,,,,,,,,,,,
剧本,ju4ben3,,,,"个,部,本",,,批,种,摞,些,,,,,,,,
剧场,ju4chang3,,,,"个,家,座",,,,,,些,,,,,,可,,
剧情,ju4qing2,,,,,,,,,,些,,,,,,,,
据点,ju4dian3,,,,"个,处",,,批,,,些,,,,,,,,活动~
距离,ju4li2,,,,,,,,,段,点,,,,,,,p,拉开~/直线~/北京大学~颐和园有两站地(p)
捐款,juan1kuan3,,,,,元,,笔,,,些,,,,,,,v,
卷尺,juan3chi3,,,,"根,把",,,,种,,些,,,,,,,,
绢花,juan4hua1,,,,朵,,,批,种,束,些,,,,,,,,
决定,jue2ding4,,,,"个,项",,,,,,,,性,,,,,v,校长传达了市委的两项~
决心,jue2xin1,,,,,,,,,,点,,,,,,,d,我有~/~书
诀窍,jue2qiao4,,,,个,,,,种,,"些,点",,,,,,,,
绝境,jue2jing4,,,否,,,,,,,,,,,,,,,
绝招,jue2zhao1,,,,个,,,套,门,,些,,儿,,,,,,
军,jun1,,数,,个,,,,,,,,长,,,,,,敌~/解放~
军队,jun1dui4,,数,,支,,,队,,,些,,,,,,,,人民~/300万~
军官,jun1guan1,,,,"个,位,名",,,群,,,些,,们,,,,,,
军火,jun1huo3,,,,,,"车,箱",批,种,,"些,点",,,,,,,,
军礼,jun1li3,,,,个,,,,,,,,,,,,,,
军令状,jun1ling4zhuang4,,,,"张,个",,,份,,,些,,,,,,,,
军棋,jun1qi2,,,,副,,盒,,,,些,,,,,,,,
军人,jun1ren2,,,,"个,位,名",,,"群,帮,批",,,些,,们,,,,,,
军事,jun1shi4,,,否,,,,,,,,,"化,家",,,,,,~力量
军衔,jun1xian2,,,,个,,,,种,,,,,,,,,,
军营,jun1ying2,,,,个,,,,,,些,,,,,,可,,
军装,jun1zhuang1,,,,件,,"车,箱",套,种,摞,些,,,,,,,,
君子,jun1zi3,,,,"个,位",,,,,,些,,,,,,,,
菌种,jun1zhong3,,,,,,,,种,,些,,,,,,,,
咖啡,ka1fei1,,,,,"斤,吨,克,千克","袋,包,瓶,勺",,种,,"些,点",,,,,,,,咖啡种子制成的粉末:速溶~
卡车,ka3che1,,,,辆,,,批,种,,些,,,,,,,,
卡片,ka3pian4,,,,张,,"盒,包",套,种,"沓,摞",些,,,,,,,,
开关,kai1guan1,,,,个,,"盒,箱",组,种,,些,,,,,,,,活动~
开水,kai1shui3,,,,,,"壶,瓶,杯",,,滴,"些,点",,,,,,,,
开销,kai1xiao1,,,,项,,,笔,种,,"些,点",,,,,,,v,
开支,kai1zhi1,,,,项,元,,笔,种,,些,,,,,,,v,活动~
楷模,kai3mo2,,,,个,,,,,,些,,,,,,,,他是我们学习的~
刊物,kan1wu4,,,,"本,份",,,批,种,,些,,,,,,,,~名称/机关~
看法,kan4fa5,,,,点,,,,种,,"些,点",,,,,,,,他谈了两点~
看台,kan4tai2,,,,个,,,,,排,些,,,,,,,,
糠,kang1,,,,,"斤,公斤,千克","筐,车",,,"堆,把","些,点",,,,,,,,
伉俪,kang4li4,,,,,,,对,,,,,,,,,,,~之情
炕,kang4,,,,个,,,,,,,,,,,,,,
考场,kao3chang3,,,,个,,,,,,些,,,,,,可,,
考生,kao3sheng1,,,,"个,名,位",,,"群,帮",,,些,,们,,,,,,
考题,kao3ti2,,,,"个,道",,,组,,,些,,,,,,,,
烤箱,kao3xiang1,,,,"个,台",,,,种,,些,,,,,,,,
靠山,kao4shan1,,,,个,,,,,,,,,,,,,,
科目,ke1mu4,,,,个,,,,种,,些,,,,,,,,考试~/~表
科学,ke1xue2,,,,,,,,"门,种",,,伪,"化,性,家",,,,,a,~画报
颗粒,ke1li4,,,否,,,,,,,,,,,,,,,~的大小
蝌蚪,ke1dou3,,,,"条,只",,,群,,,些,,,,,,,,
可见光,ke3jian4guang1,,,,,,,,种,束,些,,,,,,,,
可可,ke3ke3,,,,,"斤,吨,克,千克","瓶,袋,包,杯",批,种,,"些,点",,,,,,,,种子
可能,ke3neng2,,,,,,,,种,,点,,性,,,,,v,
可行性,ke3xing2xing4,,,,,,,,,,点,,,,,,,,
刻度,ke4du4,,,,条,,,,种,,,,,,,,,,
客车,ke4che1,,,,辆,,,队,,,些,,,,,,,,
客观,ke4guan1,,,否,,,,,,,,,性,,,,,a,~地评价
客人,ke4ren5,,,,"个,位,名",,,"群,批",,,些,,们,,,,,,来访~
课本,ke4ben3,,,,"本,册",,,"批,套",种,,些,,,,,,,,
课文,ke4wen2,,,,篇,,,,,段,些,,,,,,,,
坑,keng1,,,,个,,,,,排,些,,儿,,,,,v,门口有两个~
空白,kong4bai2,,,,"项,个",,,,,"块,片","些,点",,,,,,,,~区域
空当,kong4dang1,,,,个,,,,,,些,,,,,,,,
空地,kong4di4,,,,,"亩,平方米",,,,"块,片","些,点",,儿,,,,,,
空格,kong4ge2,,,,个,,,,,排,些,,"子,儿",,,,,,
空间,kong1jian1,,,,,,,,,块,"些,点",,,,,,,,~图形/三维~/生存~
空气,kong1qi4,,,,,立方米,,,,股,点,,,,,,,,压缩~
空隙,kong4xi4,,,,个,,,,,,点,,,,,,,,上班~
空想,kong1xiang3,,,,,,,,种,,些,,家,,,,,v,
孔,kong3,,,,个,,,,,排,,,,,,是,,,一~土窑(方言)
孔雀,kong3que4,,,,只,,,"群,对",,,些,,,,,,,,
口袋,kou3dai5,,,,"个,条,只",,,,种,,些,,儿,,,,,,
口号,kou3hao4,,,,"个,句",,,,种,,些,,,,,,,,~内容/政治~/革命~
口粮,kou3liang2,,,,,"斤,吨,公斤",,份,,,"些,点",,,,,,,,
口腔,kou3qiang1,,,否,,,,,,,,,,,,,,,
口哨儿,kou3shaor4,,,否,,,,,,,,,,,,,,,他吹了3声~
口味,kou3wei4,,,,,,,,种,,点,,,,,,,,
口音,kou3yin1,,,,,,,,种,,些,,,,,,,,
扣子,kou4zi5,,,,"颗,个,枚",,盒,副,种,"把,堆,串",些,,,,,,,,
窟窿,ku1long5,,,,个,,,,,,些,,,,,,,,冰~
骷髅,ku1lou2,,,,"个,具",,,,,堆,些,,,,,,,,
苦果,ku3guo3,,,否,,,,,,,,,,,,,,,比喻坏的结果;恶果:自食~
苦难,ku3nan4,,,,,,,,种,,"些,点",,,,,,,,~生活/作主宾语要带定语/人间~
苦头,ku3tou2,,,,,,,,,,"些,点",,,,,,,,苦痛;不幸;磨难
苦心,ku3xin1,,,,,,,,,片,,,,,,,,,
库房,ku4fang2,,,,"个,间",平方米,,,,"排,溜",些,,,,,,可,,
裤子,ku4zi5,,,,条,,,批,种,,些,,,,,,,,
快餐,kuai4can1,,,,,,,份,种,,些,,,,,,,,吃了一顿~
快车,kuai4che1,,,,"列,辆",,,,种,,些,,,,,,,,
快照,kuai4zhao4,,,,张,,,,,,些,,,,,,,,
筷子,kuai4zi5,,,,根,,盒,"双,副",种,把,些,,,,,,,,
宽度,kuan1du4,,,否,,,,,,,,,,,,,,,
款式,kuan3shi4,,,,,,,,种,,些,,,,,,,,
筐,kuang1,,,,"个,只",,,,种,"堆,摞",些,,"子,儿",,,,,q,背了一只~
矿,kuang4,,,,"个,座",,,,种,,些,,,,,,,,煤~/~山/~井
矿泉水,kuang4quan2shui3,,,,,"升,立方米","瓶,杯",,种,滴,"些,点",,,,,,,,
矿物,kuang4wu4,,,,,,,,种,,,,,,,,,,
框架,kuang4jia4,,,,个,,,,种,,些,,,,,,,,
傀儡,kui3lei3,,,,个,,,"批,伙,群",,,些,,,,,,,,
昆虫,kun1chong2,,,,"只,个,条",,,,种,,些,,,,,,,,
括号,kuo4hao4,,,,个,,,对,种,,些,,,,,,,,花~
垃圾,la1ji1,,,,,"吨,公斤","车,筐,袋,包",批,,堆,"些,点",,,,,,,,生活~
拉链,la1lian4,,,,"根,条,个",,,,种,,些,,儿,,,,,,
拉锁,la1suo3,,,,"根,条,个",,,,种,,些,,儿,,,,,,
喇叭,la3ba5,,,,个,,,,种,,些,,,,,,,,扩音~
腊梅,la4mei2,1,,,"株,棵",,,,种,"片,排",些,,,,,,,,植物
腊梅,la4mei2,2,,,朵,,,,,"把,束",些,,,,,,,,花
腊肉,la4rou4,,,,,"斤,公斤,克,千克","袋,包,盘",,,"块,片","些,点",,,,,,,,
蜡笔,la4bi3,,,,"根,支",,盒,,种,把,些,,,,,,,,
